id_1,str_1,id_2,str_2,osa,cos,sample_edition_1,sample_edition_2
zspbk0013829,Songes philosophiques,zspbk0013684,Songes philosophiques,1,1,"Songes philosophiques, by NA. (, )","Songes philosophiques, by Mercier, Louis-Sébastien. (Londres; Paris, 1768)"
zspbk0013847,Traité de hypotheques,zspbk0013846,Traité de hypotheques,1,1,"Traité de hypotheques, by NA. (, )","Traité de hypotheques, by NA. (, )"
zspbk0014549,Tentamen florae gedanensis methodo sexuali adcommo,zspbk0014126,Tentamen florae gedanensis methodo sexuali adcommo,1,1,"Tentamen florae gedanensis methodo sexuali adcommodatae, by Reyger, Gottfried. (, )","Tentamen florae gedanensis methodo sexuali adcommodatae, by Reyger, Gottfried. (Gdansk, 1764-1766)"
zspbk0014200,Opuscula varia medico-theoretica,zspbk0014199,Opuscula varia medico-theoretica,1,1,"Opuscula varia medico-theoretica, by de Gorter, Johannes. (, )","Opuscula varia medico-theoretica, by de Gorter, Johannes. (, )"
zspbk0014212,Opera Anatomica,zspbk0014210,Opera Anatomica,1,1,"Opera Anatomica, by Le Fèvre, Jean-François. (, )","Opera Anatomica, by Acquapendente, Girolamo Fabrizio d'. (, )"
zspbk0014686,Paralle?le des diffe?rentes me?thodes de traiter l,zspbk0014259,Paralle?le des diffe?rentes me?thodes de traiter l,1,1,"Paralle?le des diffe?rentes me?thodes de traiter la maladie ve?ne?rienne, by Louis, Antoine. (, )","Paralle?le des diffe?rentes me?thodes de traiter la maladie ve?ne?rienne, by Louis, Antoine. (, )"
zspbk0014662,Tractatus de febribus,zspbk0014320,Tractatus de febribus,1,1,"Tractatus de febribus, by Piens, Franciscus. (, )","Tractatus de febribus, by Fizes, Antoine. (, )"
zspbk0014508,Institutiones medicina,zspbk0014349,Institutiones medicina,1,1,"Institutiones medicina, by Schacht, Johannes Oosterdijk. (, )","Institutiones medicina, by NA. (, )"
zspbk0014460,Tabulae anatomicae,zspbk0014373,Tabulae anatomicae,1,1,"Tabulae anatomicae, by Berretini, Pietro. (, )","Tabulae anatomicae, by Kulmus, Johann Adam. (, )"
zspbk0014438,Observationes medicae Pisonis,zspbk0014437,Observationes medicae Pisonis,1,1,"Observationes medicae Pisonis, by Le Pois, Charles. (, )","Observationes medicae Pisonis, by Le Pois, Charles. (, )"
zspbk0013708,Homelies sur les evangiles de tous les dimanches d,zspbk0011848,Homelies sur les Evangiles de tous les dimanches d,0.98,0.9961284599706534,"Homelies sur les evangiles de tous les dimanches de l'année, by Monmorel, Charles le Bourg de. (, )","Homelies sur les Evangiles de tous les dimanches de l'année, by Monmorel, Charles le Bourg de. (Paris, )"
spbk0003566,Sermons sur divers textes de l'Ecriture sainte [de,spbk0002196,Sermons sur divers textes de l'Ecriture Sainte [de,0.98,0.9954039000135863,"Sermons sur divers textes de l'Écriture sainte, by Chatelain, Henri-Abraham. (n.pl., NA)","Sermons sur divers textes de l'Ecriture Sainte [de Jaquelot], prononcés devant sa majesté le roi de Prusse, by Jaquelot, Isaac. (Geneva, 1767)"
spbk0002209,"Sermons sur divers textes de l'Ecriture Sainte, pa",spbk0002191,"Sermons sur divers textes de l'Ecriture sainte, pa",0.98,0.9950392418309467,"Sermons sur divers textes de l'Ecriture Sainte, par Mr. Amedée Lullin, pasteur et professeur en histoire ecclesiastique à Geneve, by Lullin, Ami. (Geneva, 1761-1767)","Sermons sur divers textes de l'Ecriture sainte, par Gaspar Caillard, by Caillard, Gaspar. (Lausanne, 1761)"
spbk0003752,Requête au Grand Conseil de la République de Genèv,spbk0003751,Requête au Grand conseil de la République de Genèv,0.98,0.9947916666666669,"Requête au Grand Conseil de la République de Genève en recours de la sentence criminelle rendue le 24 août 1780: contre spectable Théodore Rilliet dans le procès que lui avoit intenté Monsieur le baron Frédéric de Planta pour l'avoir, disoit-il, diffamé personnellement en l'accusant publiquement d'inceste avec sa soeur la Dlle Ursule de Planta, épouse de spectable Rilliet, précédée des conclusions et de la sentence dont est recours , by Lullin, Ami. (n.pl., 1781)","Requête au Grand conseil de la République de Genève en recours de la sentence criminelle rendue le 24 août 1780 contre spectable Th. Rilliet, by NA. (n.pl., 1782)"
zspbk0013967,"Lettres provinciales, ou Examen impartial de l'ori",zspbk0013198,Lettres provinciales: ou Examen impartial de l'ori,0.98,0.9941176470588233,"Lettres provinciales, ou Examen impartial de l'origine, de la constitution, et des révolutions de la monarchie franc?oise, by Bouquet, Pierre. (La Haye; Paris, 1772)","Lettres provinciales: ou Examen impartial de l'origine, de la constitution, et des révolutions de la monarchie françoise, by Bouquet, Pierre. (La Haye; Paris, 1772)"
zspbk0012137,Histoire de France sous le regne de Louis XIV,spbk0004564,Histoire de France sous le regne de Louis XI,0.9777777777777777,0.9972027917235434,"Histoire de France sous le regne de Louis XIV, by Larrey, Isaac de. (, )","Histoire de France sous le regne de Louis XI, by Garnier, Jean-Jacques. (Paris, 1777)"
zspbk0013664,Vie des Saints pour tous les jours de l'année,spbk0010542,Vie des saints pour tous les jours de l'année,0.9777777777777777,0.9947196702507535,"Vie des Saints pour tous les jours de l'année, by Mésanguy. (, )","Vie des saints pour tous les jours de l'année, by Fontaine, Nicolas. (Rouen, 1779)"
spbk00014985,Supplementum ad varias collectiones operum…,spbk00014784,Supplementum ad varias collectiones operum,0.9767441860465116,0.9959266633137135,"Supplementum et vita, by Van Espen. (Paris, 1768)","Supplementum ad varias, by Van Espen, Zeghert Bernhard. (, NA)"
spbk0004501,Mémoires de la minorité de Louis XV,spbk0002787,Mémoires de la minorité de Louis XIV,0.9722222222222222,0.99498743710662,"Mémoires de la minorité de Louis XV, par J.-B. Massillon, by Massillon, Jean-Baptiste. (Paris, 1792)","Mémoires de la minorité de Louis XIV. Corrigés & augmentés, by La Rochefoucauld, François [de]. (n.pl., NA)"
zspbk0010751,Dictionnaire de la langue française,spbk0002879,Dictionnaire de la langue françoise,0.9714285714285714,0.9907969225254709,"Dictionnaire de la langue française, by NA. (, )","Dictionnaire portatif de la langue françoise, extrait du grand dictionnaire de Pierre Richelet, by Richelet, Pierre. (Lyon, 1780)"
zspbk0013997,Lettre sur l'électricité médicale,zspbk0012382,Lettre sur l'electricité médicale,0.9696969696969697,0.9896930310729439,"Lettre sur l'électricité médicale, by Pivati, Giovanni Francesco. (Paris, 1750)","Lettre sur l'electricité médicale, by Sigaud de La Fond, Joseph-Aignan. (Amsterdam; Paris, 1771)"
zspbk0013172,Traité des affections vaporeuses,zspbk0013171,Traité des affcetions vaporeuses,0.96875,1,"Traité des affections vaporeuses, by Pomme, Pierre. (, )","Traité des affcetions vaporeuses, by Pomme, Pierre. (, )"
zspbk0011619,Leçons de physique experimentale,spbk0003015,Leçons de physique expérimentale,0.96875,0.9904598757901498,"Leçons de physique experimentale, by Nollet, Jean Antoine. (, )","Leçons de physique expérimentale, by Sigaud de La Fond, Joseph-Aignan. (n.pl., NA)"
zspbk0013363,guide (Le) de la correspondance,zspbk0013204,guide (le) de la correspondance,0.967741935483871,0.9875771574795099,"guide (Le) de la correspondance, by Guyot, Edme-Gilles. (, )","guide (le) de la correspondance, by Guyot, Edme-Gilles. (, )"
zspbk0013065,Histoire du parlement de Paris,spbk0001148,Histoire du Parlement de Paris,0.9666666666666667,0.9867543820659301,"Histoire du parlement de Paris, by NA. (, )","Histoire du Parlement de Paris, by NA. (London, 1773)"
zspbk0013986,Eloge du Maréchal de Catinat,zspbk0013571,Eloge du Maréchal de Catinant,0.9655172413793104,0.992165074164342,"Eloge du Maréchal de Catinat, by NA. (, )","Eloge du Maréchal de Catinant, by Guibert, Jacques Antoine Hippolyte [de]. (, 1775)"
zspbk0012031,"Science (La) des personnes de cour, d'épée et de r",zspbk0011617,Science (La) des personnes de cour d'épée et de ro,0.96,0.9958334810769812,"Science (La) des personnes de cour, d'épée et de robe, by Chevigny, S V De. (, )","Science (La) des personnes de cour d'épée et de robe, by Chevigny, S V De. (Paris, 1752)"
zspbk0013930,Histoire universelle depuis le commencement du mon,zspbk0011795,Histoire universelle: depuis le commencement du mo,0.96,0.9954868420407653,"Histoire universelle depuis le commencement du monde, by Psalmanazar, George. (, )","Histoire universelle: depuis le commencement du monde jusqu'à présent, by Le Tourneur, Pierre-Prime-Félicien. (, 1779-1791)"
spbk0003304,"Homme (de l'), ou Des principes et des loix de l'i",spbk00014919,"Homme (de l'), ou des principes et des lois de l'i",0.96,0.9916418259108901,"Homme (de l'), ou Des principes et des loix de l'influence de l'âme sur le corps et du corps sur l'âme, par J.-P. Marat, by NA. (Amsterdam, 1775-1776)","Homme (de l'), ou des principes et des lois de l'influence de l'âme sur le corps et le corps sur l'âme, par J.-P. Marat, by Marat, Jean-Paul. (Amsterdam, 1775-1776)"
spbk0004822,Elémens de mathématiques,spbk0002888,Elémens des mathématiques,0.96,0.9910081668184008,"Elémens de Mathématiques, by Rivard, Dominique-François. (Paris, 1769)","Elémens des mathématiques, ou Traité de la grandeur en général, qui comprend l'arithmétique, l'algèbre, l'analyse et les principes de toutes les sciences qui ont la grandeur pour objet, by Lamy, Bernard. (, )"
zspbk0012055,Choix varié de poésies philosophiques et agr´ábles,zspbk0012054,Choix varié de poésies philosophiques et agréables,0.96,0.9888917922321865,"Choix varié de poésies philosophiques et agr´ábles, traduites de l'anglois et de l'allemand, by NA. (Avignon, 1770)","Choix varié de poésies philosophiques et agréables, traduites de l'anglois et de l'allemand, by NA. (Avignon, 1770)"
