work_title,codes,illegality_notes,categorisation_notes
Olinde,spbk0001851;zspbk0013730,(spbk0001851) 31 (3) Darnton; (zspbk0013730) ,(spbk0001851) NA; (zspbk0013730) NA
Opera Anatomica,zspbk0014210;zspbk0014212,(zspbk0014210) ; (zspbk0014212) ,(zspbk0014210) NA; (zspbk0014212) NA
Opuscula varia medico-theoretica,zspbk0014199;zspbk0014200,(zspbk0014199) ; (zspbk0014200) ,(zspbk0014199) NA; (zspbk0014200) NA
Panégyrique de Saint Louis,zspbk0013575;zspbk0013981,(zspbk0013575) ; (zspbk0013981) ,(zspbk0013575) NA; (zspbk0013981) NA
Paralle?le des diffe?rentes me?thodes de traiter la maladie ve?ne?rienne,zspbk0014259;zspbk0014686,(zspbk0014259) ; (zspbk0014686) ,(zspbk0014259) NA; (zspbk0014686) NA
Philosophie ad usum scholae accomodata,zspbk0011344;zspbk0011968,(zspbk0011344) ; (zspbk0011968) ,(zspbk0011344) NA; (zspbk0011968) NA
Poésies de La Loupiere,zspbk0013233;zspbk0013234,(zspbk0013233) ; (zspbk0013234) ,(zspbk0013233) NA; (zspbk0013234) NA
Proverbes dramatiques,zspbk0010699;zspbk0013907,(zspbk0010699) ; (zspbk0013907) ,(zspbk0010699) NA; (zspbk0013907) NA
Publii Terentii Afri Comoediae. Phaedri Fabulae aesopiae. Publii Syri et alrioum Veterum Sententiae. Ex recensione et cum notis Bentleii,zspbk0012850;zspbk0012851,(zspbk0012850) ; (zspbk0012851) ,(zspbk0012850) NA; (zspbk0012851) NA
Sages entretiens (les) d'une âme qui aime son salut,spbk0010299;spbk0010476,(spbk0010299) Permitted work (permission simple); (spbk0010476) Permitted work (permission simple),(spbk0010299) NA; (spbk0010476) NA
Sermons choisis,spbk0002205;zspbk0011538,(spbk0002205) NA; (zspbk0011538) ,(spbk0002205) NA; (zspbk0011538) Standard genre
Sermons sur divers textes de l'Ecriture sainte,spbk0003557;zspbk0012782,(spbk0003557) NA; (zspbk0012782) ,(spbk0003557) NA; (zspbk0012782) Standard genre.
Songes philosophiques,zspbk0013684;zspbk0013829,(zspbk0013684) ; (zspbk0013829) ,(zspbk0013684) NA; (zspbk0013829) NA
Tabulae anatomicae,zspbk0014373;zspbk0014460,(zspbk0014373) ; (zspbk0014460) ,(zspbk0014373) NA; (zspbk0014460) NA
Tentamen florae gedanensis methodo sexuali adcommodatae,zspbk0014126;zspbk0014549,(zspbk0014126) ; (zspbk0014549) ,(zspbk0014126) NA; (zspbk0014549) NA
Tractatus de febribus,zspbk0014320;zspbk0014662,(zspbk0014320) ; (zspbk0014662) ,(zspbk0014320) NA; (zspbk0014662) NA
Traité de hypotheques,zspbk0013846;zspbk0013847,(zspbk0013846) ; (zspbk0013847) ,(zspbk0013846) NA; (zspbk0013847) NA
Traité de la vérité de la religion chrétienne,zspbk0012096;zspbk0013256,(zspbk0012096) ; (zspbk0013256) ,(zspbk0012096) NA; (zspbk0013256) NA
Traité des successions,spbk0002375;spbk0010527,(spbk0002375) NA; (spbk0010527) Permitted work (permission simple),(spbk0002375) NA; (spbk0010527) NA
Traite? du gouvernement de l'Eglise et de la puissance du Pape par rapport a? ce gouvernement. Traduit du Latin [de Justinius Febronius],zspbk0013107;zspbk0013108,(zspbk0013107) ; (zspbk0013108) ,(zspbk0013107) NA; (zspbk0013108) NA
Triomphe de l'amour,spbk0002395;zspbk0013928,(spbk0002395) 0 (0) Darnton; (zspbk0013928) ,(spbk0002395) NA; (zspbk0013928) NA
"Vie (La) de Philippe d'Orléans: petit fils de France, Regent du royaume pendant la minorité de Louis XV",zspbk0011961;zspbk0011962,(zspbk0011961) ; (zspbk0011962) ,(zspbk0011961) NA; (zspbk0011962) NA
"Vie, faiblesses et repentir d'une femme",spbk0002433;spbk0002438,(spbk0002433) NA; (spbk0002438) NA,(spbk0002433) NA; (spbk0002438) NA
